Cikkszám;Kategória;Gyártó;Név;Ár;Garidõ
79537;Videokártya;GIGABYTE;GIGABYTE GTX960 2GB DDR5 GV-N960WF2OC-2GD nVidia,PCIE,GPU:1127/1178MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,3xDisplayPort,DisplayPort;47100;36
79576;Monitor;Dell;"Dell 25"" U2515H IPS LED 25"",2560x1440,2M:1/1000:1,350cd/m2,8ms,2xHDMI,Black/Silver,LED,5xUSB3.0, MiniDisplayPort,IPS,25"",DP,Full HD,16:9";89350;36
79616;Processzor;Noname;Noname Processzor hûtõzsír 1g;180;0
79665;Nyomtató;Brother;Brother HL1210WE wireless lézernyomtató;17900;36
79781;Videokártya;Gainward;Gainward GeForce 960GTX OC 2GB DDR5  nVidia,PCIE,GPU:1156/1228MHz,RAM:7000MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,SLI,DisplayPort;47590;24
79782;Videokártya;Gainward;Gainward GeForce 960GTX 2GB DDR5 Phantom nVidia,PCIE,GPU:1203/1266MHz,RAM:7200MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,SLI,DisplayPort;45800;24
79784;Videokártya;Gainward;Gainward GeForce 960GTX 2GB DDR5 Phantom GLH nVidia,PCIE,GPU:1279/1342MHz,RAM:7200MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,SLI,DisplayPort;48900;24
79786;Videokártya;Palit;Palit GeForce GTX960 2GB DDR5 JetStream nVidia,PCIE,GPU:1203/1266MHz,RAM:7200MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;48280;24
79799;Monitor;LG;"LG 19"" 19CNV42K-B LED 19"",1440x900,5M:1/1000:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub, USB,16:10,19""";76280;36
79840;Memória;Crucial;Crucial 16GB DDR4 2400MHz Kit(2x8GB) Ballistix Sport;25200;-1
79859;Nyomtató;Oki;Oki B412dn lézer LED nyomtató;36180;12
79860;Nyomtató;Oki;Oki B432dn Lézer LED nyomtató;30020;12
79982;Monitor;Asus;"Asus 24"" VX24AH LED 24"",2560x1440,100000000:1/1000:1,300cd/m2,5ms,2xHDMI,Black,Multimédia,LED,D-Sub,24"",Full HD,16:9";80530;36
79983;Monitor;Asus;"Asus 27"" VX279H-W LED 27"",1920x1080,80000000:1,250cd/m2,5ms,2xHDMI,White,Multimédia,LED,D-Sub,AH-IPS,27"",Full HD,16:9";55590;36
80077;Memória;Geil;Geil 4GB DDR3 1333MHz Evo Potenza;6380;-1
80078;Memória;Geil;Geil 4GB DDR3 1600MHz Enhance Veloce;6370;-1
80079;Memória;Geil;Geil 8GB DDR3 1600MHz Enhance Veloce Kit2 (2x4GB);12740;-1
80081;Memória;Silicon Power;Silicon Power 4GB DDR3 1600MHz;5650;-1
80087;Videokártya;Asus;Asus STRIX-GTX750TI-DC2OC-4GD5 nVidia,PCIE,GPU:1124/1202MHz,RAM:5400MHz,4GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,DisplayPort;38690;36
80102;Videokártya;HP;HP nVIDIA Quadro K2200 4GB DDR5 nVidia,PCIE,4GB,DDR5,128bit,Aktív hûtés,1xDVI,DisplayPort;126760;12
80103;Videokártya;HP;HP nVIDIA Quadro K620 2GB DDR3 nVidia,PCIE,2GB,DDR3,128bit,Aktív hûtés,1xDVI,LP,DisplayPort;48560;12
80137;Monitor;LG;"LG 24"" 24MB56HQ-B IPS LED 24"",1920x1080,5M:1/1000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,IPS,24"",Full HD,16:9";32590;36
80145;Videokártya;GIGABYTE;GIGABYTE GTX960 2GB DDR5 OC GV-N960IXOC-2GD nVidia,PCIE,GPU:1127/1178MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;45900;36
80299;Monitor;Benq;"Benq 32"" BL3201PT IPS LED 32"",3840x2160,20M:1/1000:1,350cd/m2,4ms,1xDVI,2xHDMI,Black,Pivot,Multimédia,LED,USB3.0x2,IPS,32"",DP,Full HD,4K";236470;36
80346;Monitor;Acer;"Acer 21,5"" V226HQLbd LED 21,5"",1920x1080,100M:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,21,5"",Full HD,16:9";24220;36
80390;Memória;Kingston;Kingston 16GB DDR4 2133MHz Kit(4x4GB) HyperX Fury Black Series;21380;-1
80391;Memória;Kingston;Kingston 16GB DDR4 2400MHz Kit(4x4GB) HyperX Fury Black Series;21580;-1
80392;Memória;Kingston;Kingston 16GB DDR4 2666MHz Kit(4x4GB) HyperX Fury Black Series;23700;-1
80393;Memória;Kingston;Kingston 32GB DDR4 2133MHz Kit(4x8GB) HyperX Fury Black Series;37610;-1
80394;Memória;Kingston;Kingston 32GB DDR4 2400MHz Kit(4x8GB) HyperX Fury Black Series;34550;-1
80395;Memória;Kingston;Kingston 32GB DDR4 2666MHz Kit(4x8GB) HyperX Fury Black Series;46650;-1
80396;Memória;Kingston;Kingston 32GB DDR4 2133MHz Kit(4x8GB) HyperX Predator (T2) Intel XMP;51790;-1
80398;Memória;Kingston;Kingston 32GB DDR4 2800MHz Kit(4x8GB) HyperX Predator (T2) Intel XMP;65350;-1
80400;Memória;Kingston;Kingston 32GB DDR4 3000MHz Kit(4x8GB) HyperX Predator (T2) Intel XMP;74630;-1
80536;Memória;Kingston;Kingston 32GB DDR4 2666MHz Kit(4x8GB) HyperX Predator (T2) Intel XMP;63260;-1
80603;Videokártya;Msi;Msi GTX960 2GD5T OC nVidia,PCIE,GPU:1178/1241MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,3xDisplayPort,DisplayPort;47400;36
80620;Memória;Corsair;Corsair 4GB DDR4 2133MHz Value;5980;-1
80699;Monitor;Samsung;"Samsung 31,5"" U32D970Q LED 31,5"",3840x2160,MegaDCR,350cd/m2,8ms,1xDVI,1xHDMI,Black,Pivot,LED,USB2.0x5,31,5"",DP,16:9,4K";312600;12
80740;Processzor;AMD;AMD X4 A8 7650(K) FM2+ 3,3GHz BOX Black Edition;19100;36
80778;Monitor;LG;"LG 20"" 20M37A-B LED 20"",1600x900,5M:1,200cd/m2,5ms,Black,LED,D-Sub,20"",16:9";20400;36
80779;Monitor;LG;"LG 21,5"" 22M37A-B LED 21,5"",1920x1080,5M:1,200cd/m2,5ms,Black,LED,D-Sub,21,5"",Full HD,16:9";23850;36
80780;Monitor;LG;"LG 21,5"" 22MP47D-P AH-IPS LED 21,5"",1920x1080,5M:1,250cd/m2,5ms,1xDVI,Pivot,LED,D-Sub,AH-IPS,21,5"",Full HD,16:9";27300;36
80791;Monitor;Philips;"Philips 40"" BDM4065UC IPS LED 40"",3840x2160,50M:1/5000:1,300cd/m2,3ms,2xHDMI,Black,Multimédia,LED,D-Sub, USB3.0x4,IPS,40"",DP,16:9,4K";163050;36
80796;Monitor;Philips;"Philips 21,5"" 223V5LSB LED 21,5"",1920x1080,10M:1/1000:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,21,5"",Full HD,16:9";23690;36
80797;Monitor;Philips;"Philips 23,6"" 243V5LHAB LED 23,6"",1920x1080,1000:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,23,6"",Full HD,16:9";30850;36
80864;Nyomtató;Oki;Oki B731dnw wireless lézer LED nyomtató;173780;36
80890;Videokártya;GIGABYTE;GIGABYTE GT720 1GB DDR3 GV-N720D3-1GL nVidia,PCIE,GPU:797MHz,RAM:1800MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP;10810;36
80903;Memória;Kingston;Kingston 4GB DDR3 1600MHz Single Rank Dell;4560;-1
80938;Memória;Corsair;Corsair 8GB DDR4 2133MHz Value;10280;-1
80957;Monitor;HP;"HP 21,5"" Pavilion 22cw (J7Y66AA) IPS LED 21,5"",1920x1080,5M:1/1000:1,250cd/m2,7ms,1xHDMI,Black/Silver,LED,D-Sub,IPS,21,5"",Full HD,16:9";41830;12
80958;Monitor;HP;"HP 21,5"" Pavilion 22xw (J7Y67AA) IPS LED 21,5"",1920x1080,5M:1/1000:1,250cd/m2,7ms,1xHDMI,Silver/White,LED,D-Sub,IPS,21,5"",Full HD,16:9";42340;36
80960;Monitor;HP;"HP 23"" Pavilion 23cw (J7Y74AA) IPS LED 23"",1920x1080,5M:1/1000:1,250cd/m2,7ms,1xHDMI,Black/Silver,LED,D-Sub,IPS,23"",Full HD,16:9";46170;12
81071;Nyomtató;Xerox;Xerox Phaser 6022V/NI wireless lézernyomtató;46070;12
81072;Nyomtató;Xerox;Xerox Phaser 4622V/DN Lézernyomtató;212390;12
81149;Videokártya;HP;HP nVIDIA Quadro K420 1GB DDR3 nVidia,PCIE,GPU:891MHz,1GB,DDR3,128bit,Aktív hûtés,1xDVI,LP,DisplayPort;28860;12
81214;Videokártya;Gainward;Gainward GeForce 980GTX 4GB GDDR5 Phantom nVidia,PCIE,GPU:1203/1304MHz,RAM:7200MHz,4GB,DDR5,256bit,Aktív hûtés,1xDVI,SLI,mini HDMI,3xmini DisplayPort;131320;24
81225;Monitor;Samsung;"Samsung 34"" S34E790C LED Curved 34"",3440x1440,MegaDCR/3000:1,300cd/m2,4ms,2xHDMI,Black,Pivot,LED,USB3.0x4,21:9, Curved,34"",DP";218500;12
81280;Monitor;LG;"LG 21,5"" 22M47VQ-P LED 21,5"",1920x1080,5M:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,21,5"",Full HD,16:9";32190;24
81282;Monitor;LG;"LG 21,5"" 22MP67VQ-P AH-IPS LED 21,5"",1920x1080,5M:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,AH-IPS,21,5"",Full HD,16:9";33100;36
81283;Monitor;LG;"LG 21,5"" PersonalTV 22MT57D-PZ IPS LED (monitor/tv) 21,5"",1920x1080,5M:1,250cd/m2,14ms,2xHDMI,Black,Multimédia,TV,LED,MPEG4,USB,IPS, SCART,21,5"",Full HD,16:9";40260;36
81284;Monitor;LG;"LG 21,5"" PersonalTV 22MT47D-PZ IPS LED (monitor/tv) 21,5"",1920x1080,5M:1,200cd/m2,5ms,1xHDMI,Black,Multimédia,TV,LED,MPEG4,USB,IPS,21,5"",Full HD,16:9";35190;36
81285;Monitor;LG;"LG 23"" 23MP67VQ-P AH-IPS LED 23"",1920x1080,5M:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,AH-IPS,23"",Full HD,16:9";37350;36
81384;Videokártya;Asus;Asus GTX960-MOC-2GD5 nVidia,PCIE,GPU:1190/1253MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;48900;36
81385;Videokártya;Asus;Asus MATRIX-GTX980-P-4GD5 nVidia,PCIE,GPU:1241/1342MHz,RAM:7010MHz,4GB,DDR5,256bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;155230;36
81386;Videokártya;Asus;Asus STRIX-GTX960-DC2-2GD5 nVidia,PCIE,GPU:1178/1126MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;48300;36
81396;Videokártya;Msi;Msi GTX960 2GD5 nVidia,PCIE,GPU:1127/1178MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,3xDisplayPort,DisplayPort;45950;36
81400;Memória;Kingston;Kingston 16GB DDR4 2133MHz Kit(2x8GB) HyperX Fury Black Series;16900;-1
81401;Memória;Kingston;Kingston 4GB DDR4 2133MHz HyperX Fury Black Series;4990;-1
81404;Memória;Kingston;Kingston 8GB DDR4 2133MHz HyperX Fury Black Series;7990;-1
81405;Memória;Kingston;Kingston 8GB DDR4 2133MHz Kit(2x4GB) HyperX Fury Black Series;9490;-1
81476;Processzor;AMD;AMD FX-8300 AM3+ 3,3GHz BOX Black Edition;28600;36
81564;Memória;Kingston;Kingston 4GB DDR3 1333MHz HP/Compaq;4620;-1
81594;Monitor;Acer;"Acer 23,8"" G247HYUsmidp IPS LED 23,8"",2560x1440,100M:1,300cd/m2,4ms,1xDVI,1xHDMI,Black,LED,IPS,23,8"",DP,Full HD,16:9";78350;24
81611;Monitor;LG;"LG 24"" PersonalTV 24MT47D-PZ IPS LED (monitor/tv) 24"",1366x768,5M:1,250cd/m2,4ms,1xHDMI,Black,Multimédia,TV,LED,MPEG4,D-Sub, USB,IPS,24"",16:9";36900;36
81614;Monitor;LG;"LG 27"" PersonalTV 27MT57D-PZ IPS LED (monitor/tv) 27"",1920x1080,5M:1/1000:1,250cd/m2,5ms,2xHDMI,Black,Multimédia,TV,LED,MPEG4,USB,IPS, SCART,27"",Full HD,16:9";62000;36
81627;Monitor;LG;"LG 23"" 23MP47HQ-P IPS LED 23"",1920x1080,5M:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,AH-IPS,23"",Full HD,16:9";34000;36
81656;Monitor;Asus;"Asus 23,6"" VN247HA LED 23,6"",1920x1080,80000000:1,250cd/m2,5ms,1xDVI,2xHDMI,Black,Multimédia,LED,D-Sub,23,6"",Full HD,16:9";39550;36
81663;Monitor;Samsung;"Samsung 27"" S27E510C LED Curved 27"",1920x1080,MegaDCR/3000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,Curved,27"",Full HD,16:9";73600;12
81674;Monitor;LG;"LG 18,5"" 19M37A-B LED 18,5"",1366x768,5M:1,200cd/m2,5ms,Black,LED,D-Sub,HD,18,5"",16:9";19700;36
81675;Monitor;LG;"LG 21,5"" 22MP57VQ-P IPS LED 21,5"",1920x1080,5M:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,AH-IPS,21,5"",Full HD,16:9";30450;36
81753;Monitor;Samsung;"Samsung 21,5"" S22E390H LED 21,5"",1920x1080,MegaDCR/1000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,21,5"",Full HD,16:9";36600;12
81783;Monitor;LG;"LG 55"" 55LS35A IPS LED 55"",1920x1080,1300:1,450cd/m2,12ms,1xDVI,1xHDMI,Black,LED,D-Sub, USB,IPS,55"",Full HD,16:9";312680;36
81840;Videokártya;Msi;Msi GTX960 Gaming 4GB DDR5 GTX 960 GAMING 4G nVidia,PCIE,GPU:1178/1279/1304MHz,RAM:7010MHz,4GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,SLI,3xDisplayPort,DisplayPort;59540;36
81916;Videokártya;Gainward;Gainward GeForce 980GTX 4GB GDDR5 nVidia,PCIE,GPU:1127/1216MHz,RAM:7000MHz,4GB,DDR5,256bit,Aktív hûtés,1xDVI,mini HDMI,3xmini DisplayPort;122200;24
81931;Nyomtató;HP;HP Color LaserJet Pro M252dw (B4A22A) wireless színes lézernyomtató;57440;12
81932;Nyomtató;HP;HP Color LaserJet Pro M252n (B4A21A) színes lézernyomtató;43700;12
81941;Memória;Kingston;Kingston 1GB DDR2 800MHz;3930;-1
81973;Monitor;Samsung;"Samsung 21,5"" S22E391HS LED 21,5"",1920x1080,MegaDCR/1000:1,250cd/m2,4ms,1xHDMI,White,LED,D-Sub,21,5"",Full HD,16:9";33430;12
81997;Monitor;HP;"HP 27"" EliteDisplay S270 (K1M38AA) LED Curved 27"",1920x1080,10000000:1/3000:1,300cd/m2,8ms,1xHDMI,Black/Silver,Multimédia,LED,D-Sub,Curved,27"",Full HD,16:9";107640;12
82002;Monitor;Philips;"Philips 21,5"" 223V5LHSB LED 21,5"",1920x1080,1000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,21,5"",Full HD,16:9";25910;36
82017;Monitor;LG;"LG 27"" 27MP57VQ-P IPS LED 27"",1920x1080,5M:1/1000:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,IPS,27"",Full HD,16:9";61570;36
82018;Monitor;LG;"LG 27"" 27MP67VQ-P IPS LED 27"",1920x1080,5000000:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,IPS,27"",Full HD,16:9";66340;36
82019;Monitor;LG;"LG 27"" 27MP77HM-P IPS LED 27"",1920x1080,5000000:1,250cd/m2,5ms,2xHDMI,Black,Multimédia,LED,D-Sub,IPS,27"",Full HD,16:9";69700;36
82096;Nyomtató;HP;HP LaserJet Enterprise 500 Color M552dn (B5L23A) színes lézernyomtató;120000;12
82097;Nyomtató;HP;HP LaserJet Enterprise 500 Color M553dn (B5L25A) színes lézernyomtató;134500;12
82098;Nyomtató;HP;HP LaserJet Enterprise 500 Color M553n (B5L24A) színes lézernyomtató;100300;12
82126;Monitor;LG;"LG 24"" PersonalTV 24MT57D-PZ IPS LED (monitor/tv) 24"",1920x1080,5M:1,250cd/m2,5ms,1xHDMI,Black,Multimédia,TV,LED,D-Sub, USB,IPS,24"",Full HD,16:9";47200;36
82130;Nyomtató;Samsung;Samsung SL-M3825DW wireless hálózatos/duplex lézernyomtató;71310;12
82179;Videokártya;Asus;Asus STRIX-GTX960-DC2OC-4GD5 nVidia,PCIE,GPU:1228/1291 | 1253/1317MHz,RAM:7010MHz,4GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;57800;36
82192;Monitor;LG;"LG 27"" 27MP37VQ-B IPS LED 27"",1920x1080,5M:1/1000:1,200cd/m2,5ms,1xDVI,1xHDMI,Black,LED,D-Sub,IPS,27"",Full HD,16:9";49900;36
82266;Monitor;Acer;"Acer 25"" H257HUsmidpx IPS LED 25"",2560x1440,100M:1,350cd/m2,4ms,1xDVI,1xHDMI,Silver/Black,Multimédia,LED,IPS,25"",DP,16:9";90110;24
82286;Videokártya;Asus;Asus STRIX-GTX970-DC2-4GD5 nVidia,PCIE,GPU:1051/1178MHz,RAM:7010MHz,4GB,DDR5,256bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;90000;36
82376;Nyomtató;HP;HP LaserJet Enterprise 600 M605dn (E6B70A) Lézer nyomtató;205400;12
82378;Nyomtató;HP;HP LaserJet Enterprise 600 M605n (E6B9A) Lézer nyomtató;161800;12
82379;Nyomtató;HP;HP LaserJet Enterprise 600 M606dn (E6B72A) Lézer nyomtató;257740;12
82382;Monitor;Philips;"Philips 24"" 240S4LPSB LED 24"",1920x1080,20M:1/1000:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub,24"",Full HD,16:9";51900;36
82429;Monitor;Asus;"Asus 19,5"" VX207NE LED 19,5"",1366x768,100000000:1/600:1,200cd/m2,5ms,1xDVI,Black,LED,D-Sub,HD,19,5""";23100;36
82430;Monitor;Asus;"Asus 27"" MX27AQ IPS LED 27"",2560x1440,100000000:1,300cd/m2,5ms,2xHDMI,Black,Multimédia,LED,AH-IPS,27"",DP,16:9";119200;36
82433;Videokártya;GIGABYTE;GIGABYTE GTX960 4GB DDR5 GV-N960WF2OC-4GD nVidia,PCIE,GPU:1216/1279 | 1241/1304MHz,RAM:7010MHz,4GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,3xDisplayPort,DisplayPort;52950;36
82452;Videokártya;GIGABYTE;GIGABYTE GTX960 4GB DDR5 GV-N960G1 GAMING-4GD nVidia,PCIE,GPU:1241/1304 | 1266/1329MHz,RAM:7010MHz,4GB,DDR5,128bit,Aktív hûtés,2xDVI,1xHDMI,SLI,3xDisplayPort,DisplayPort;56100;36
82504;Nyomtató;Epson;Epson L130 Tintasugaras ultranagy tintakapacitású nyomtató;34200;12
82638;Nyomtató;Brother;Brother PT-P750 wireless Címkenyomtató;29510;24
82661;Memória;Silicon Power;Silicon Power 4GB DDR3 1600MHz;11360;-1
82687;Nyomtató;HP;HP LaserJet Enterprise 600 M604dn (E6B68A) Lézer nyomtató;161800;12
82701;Nyomtató;Samsung;Samsung SL-M2026 lézernyomtató;14700;12
82702;Nyomtató;Samsung;Samsung SL-M2026W wireless lézernyomtató;18490;12
82713;Monitor;Samsung;"Samsung 24"" LS24E390HL LED 24"",1920x1080,MegaDCR/1000:1,250cd/m2,5ms,1xHDMI,Black,LED,D-Sub,24"",Full HD,16:9";38820;12
82714;Monitor;Samsung;"Samsung 24"" LS24E391HL LED 24"",1920x1080,MegaDCR/1000:1,250cd/m2,4ms,1xHDMI,White,LED,D-Sub,24"",Full HD,16:9";43630;12
82723;Videokártya;EVGA;EVGA GeForce GTX 970 4GB DDR5 (Superclocked) nVidia,PCIE,GPU:1140/1279MHz,RAM:7010MHz,4GB,DDR5,256bit,Aktív hûtés,2xDVI,1xHDMI,SLI,DisplayPort;88900;36
82739;Videokártya;Asus;Asus TURBO-GTX970-OC-4GD5 nVidia,PCIE,GPU:1088/1228MHz,RAM:7010MHz,4GB,DDR5,256bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;85000;36
82741;Monitor;Samsung;"Samsung 27"" LS27E390HS LED 27"",1920x1080,MegaDCR/1000:1,300cd/m2,4ms,1xHDMI,Black/Blue,LED,D-Sub,27"",Full HD,16:9";58990;12
82818;Processzor;Intel;Intel Pentium G3260 3300MHz 3MB LGA1150 Box;12350;36
82844;Monitor;LG;"LG 24"" 24MP77HM-P IPS LED 23,8"",1920x1080,5M:1,250cd/m2,5ms,2xHDMI,Black,Multimédia,LED,D-Sub,IPS,23,8"",Full HD,16:9";57500;36
82845;Monitor;LG;"LG 25"" 25UM57 IPS LED 25"",2560x1080,5M:1,250cd/m2,5ms,2xHDMI,Black,Multimédia,LED,IPS, 21:9,25"",Full HD";41600;36
82922;Memória;Transcend;Transcend 4GB DDR3 1600MHz SODIMM;5250;-1
82955;Memória;Corsair;Corsair 16GB DDR4 2666MHz Kit (4x4GB) Vengeance LPX Red;25990;-1
82980;Memória;Zeppelin;Zeppelin 1GB DDR 400MHz;2500;-1
82986;Videokártya;Zotac;Zotac GeForce GT 720 2GB DDR3 Zone Edition nVidia,PCIE,GPU:797MHz,RAM:1600MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP,Extended Warranty;16720;24
82988;Videokártya;Zotac;Zotac GeForce GT 730 1GB DDR3 Zone Edition nVidia,PCIE,GPU:902MHz,RAM:1800MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP,Extended Warranty;18230;24
82989;Videokártya;Zotac;Zotac GeForce GT 730 2GB DDR3 Zone Edition nVidia,PCIE,GPU:902MHz,RAM:1600MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP,Extended Warranty;18790;24
82999;Processzor;Intel;Intel Core i3-4170 3700MHz 3MB LGA1150 Box;26800;36
83001;Memória;TeamGroup;TeamGroup 8GB DDR3 1600MHz Kit(2x4GB) Elite+;12710;24
83028;Videokártya;PNY;PNY Quadro K420 1GB DDR3 LP nVidia,PCIE,1GB,DDR3,128bit,Aktív hûtés,1xDVI,LP,DisplayPort;36610;36
83031;Videokártya;EVGA;EVGA GeForce GT 740 1GB DDR5 FTW nVidia,PCIE,GPU:1202MHz,RAM:5000MHz,1GB,DDR5,128bit,Aktív hûtés,2xDVI,mini HDMI;31070;36
83032;Videokártya;EVGA;EVGA GeForce GTX 970 4GB DDR5 ACX 2.0 FTW nVidia,PCIE,GPU:1216/1367MHz,RAM:7010MHz,4GB,DDR5,256bit,Aktív hûtés,2xDVI,1xHDMI,DisplayPort;92600;36
83053;Videokártya;Msi;Msi R5 230 1GD3H AMD,PCIE,GPU:625MHz,RAM:1000MHz,1GB,DDR3,128bit,Passzív hûtés,VGA,1xDVI,1xHDMI;10470;36
83121;Processzor;Xilence;Xilence Heat-conductive paste X5 High Performance;735;0
83187;Memória;CSX;CSX 2GB DDR3 1600Mhz Alpha Standard;3010;120
83301;Videokártya;Asus;Asus STRIX-GTX980-DC2C-4GD5 nVidia,PCIE,GPU:1126/1216MHz,RAM:7010MHz,4GB,DDR5,256bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;155350;36
83302;Videokártya;Asus;Asus TURBO-GTX960-OC-2GD5 nVidia,PCIE,GPU:1190/1253MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;45990;36
83313;Videokártya;GIGABYTE;GIGABYTE GTX970 4GB DDR5 GV-N970WF3-4GD nVidia,PCIE,GPU:1051/1178MHz,RAM:7000MHz,4GB,DDR5,256bit,Aktív hûtés,2xDVI,1xHDMI,3xDisplayPort,DisplayPort;85290;36
83322;Videokártya;GIGABYTE;GIGABYTE R7 250 2GB DDR3 OC GV-R725OC-2GI REV3 AMD,PCIE,GPU:700/720MHz,RAM:1600MHz,2GB,DDR3,128bit,Aktív hûtés,VGA,2xDVI,1xHDMI;21370;36
83341;Monitor;Acer;"Acer 24"" B246WLymdrx IPS LED 24"",1920x1080,100000000:1,300cd/m2,6ms,1xDVI,Darkgrey,Multimédia,LED,D-Sub,IPS,24"",Full HD,16:9";72400;36
83379;Monitor;Samsung;"Samsung 27"" S27A850D LED 27"",2560x1440,MegaDCR/1000:1,300cd/m2,5ms,1xDVI,Black,Pivot,LED,D-Sub, USB3.0,27"",DP,Full HD,16:9";98330;12
83382;Videokártya;Leadtek;Leadtek nVIDIA Quadro K620 2GB DDR3 nVidia,PCIE,GPU:1000MHz,RAM:900MHz,2GB,DDR3,128bit,Aktív hûtés,1xDVI,DisplayPort;48110;24
83408;Monitor;Acer;"Acer 23"" G237HLAbid IPS LED 23"",1920x1080,100M:1,250cd/m2,4ms,1xDVI,1xHDMI,Black,LED,D-Sub,IPS,23"",Full HD,16:9";33700;24
83435;Nyomtató;HP;HP LaserJet Enterprise 600 M604n (E6B67A) Lézer nyomtató;127900;12
83497;Monitor;LG;"LG 24"" 24M37D-B LED 24"",1920x1080,5M:1,200cd/m2,5ms,1xDVI,Black,LED,D-Sub,24"",Full HD,16:9";31390;36
83515;Processzor;Zalman;Zalman ZM-STG1 processzor hûtõzsír;1350;12
83647;Videokártya;Sapphire;Sapphire FirePro W5100 4GB DDR5 AMD,PCIE,4GB,DDR5,128bit,Aktív hûtés,4xDisplayPort,DisplayPort;94610;36
83669;Monitor;LG;"LG 29"" 29UB67-P IPS LED 29"",2560x1080,5M:1/1000:1,300cd/m2,5ms,1xDVI,2xHDMI,Black,Pivot,Multimédia,LED,USB,IPS, 21:9,29"",DP";79700;36
83690;Memória;Kingston;Kingston 16GB DDR3 1866MHz Kit(4x4GB) HyperX Beast (T3) Series;23630;-1
83769;Monitor;Samsung;"Samsung 27"" S27E591C LED Curved 27"",1920x1080,MegaDCR,350cd/m2,4ms,1xHDMI,White,LED,D-Sub,Curved,27"",DP,Full HD,16:9";67270;12
83868;Videokártya;Asus;Asus GTX960-DC2OC-2GD5-BLACK nVidia,PCIE,GPU:1279/1342MHz,RAM:7010MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,1xHDMI,3xDisplayPort,DisplayPort;53300;36
83875;Monitor;Dell;"Dell 24"" P2416D LED 24"",2560x1440,1000:1,300cd/m2,8ms,1xHDMI,Black,Pivot,LED,USB,24"",DP,Full HD,16:9";71110;24
83885;Nyomtató;Canon;Canon IP110 PIXMA A4 wireless hordozható színes tintasugaras nyomtató;58900;12
83960;Monitor;Acer;"Acer 27"" G277HLbid LED 27"",1920x1080,100000000:1,250cd/m2,4ms,1xDVI,1xHDMI,Black,LED,D-Sub,27"",Full HD,16:9";57990;24
84016;Monitor;Samsung;"Samsung 24"" S24E510C LED Curved 23,5"",1920x1080,MegaDCR/3000:1,250cd/m2,4ms,1xHDMI,Black,LED,D-Sub,23,5"",Full HD,16:9";59920;12
